sample_ID,total_count,population,cell_population,percentage
sample00117,93271,b_cell,8561,0.09178630013616236
sample00118,96176,b_cell,8314,0.08644568291465646
sample00119,109329,b_cell,10519,0.09621417922051789
sample00120,99469,b_cell,5301,0.05329298575435563
sample00121,100448,b_cell,6109,0.06081753743230328
sample00122,102361,b_cell,9758,0.09532927579839978
sample00123,101404,b_cell,8588,0.08469093921344326
sample00124,91040,b_cell,7220,0.07930579964850615
sample00125,108174,b_cell,18039,0.1667591103222586
sample00126,93769,b_cell,8794,0.0937836598449381
sample00127,105638,b_cell,12536,0.11866941820178345
sample00128,102875,b_cell,10257,0.09970352369380316
sample00129,97799,b_cell,8578,0.0877105082874058
sample00130,110509,b_cell,9491,0.08588440760481046
sample00131,94983,b_cell,13475,0.14186749207752966
sample00132,104383,b_cell,12071,0.1156414358659935
sample00133,103248,b_cell,8998,0.08714938788160545
sample00134,94929,b_cell,5345,0.05630523865204521
sample00135,111728,b_cell,6364,0.0569597594157239
sample00136,105539,b_cell,9477,0.08979618908649883
sample00137,103610,b_cell,13112,0.1265514911688061
sample00138,93142,b_cell,10705,0.11493203925189496
sample00139,98502,b_cell,8256,0.08381555704452702
sample00140,94698,b_cell,10349,0.10928425098734926
sample00141,103696,b_cell,4896,0.04721493596667181
sample00142,98991,b_cell,10372,0.10477720196785566
sample00143,95184,b_cell,7954,0.08356446461590183
sample00144,98439,b_cell,7857,0.0798159266144516
sample00145,96711,b_cell,9816,0.10149827837577938
sample00146,108534,b_cell,1835,0.01690714430501041
sample00147,107835,b_cell,9384,0.0870218389205731
sample00148,95497,b_cell,12464,0.13051718902164466
sample00149,106825,b_cell,7999,0.07487947577814182
sample00150,90252,b_cell,6574,0.07284049106944998
sample00151,94188,b_cell,10045,0.10664840531702552
sample00152,101748,b_cell,10029,0.09856704800094351
sample00153,105449,b_cell,12772,0.12112016235336513
sample00154,98244,b_cell,4851,0.04937706119457677
sample00155,98358,b_cell,9098,0.09249883080176498
sample00156,95669,b_cell,12105,0.12653001494737062
sample00157,107396,b_cell,12798,0.11916644940221237
sample00158,99524,b_cell,9304,0.09348498854547647
sample00159,108497,b_cell,10899,0.1004543904439754
sample00160,108795,b_cell,4919,0.045213474883956065
sample00161,108402,b_cell,11706,0.10798693751037804
sample00162,102499,b_cell,12077,0.11782553976136352
sample00163,104732,b_cell,11351,0.10838139250658825
sample00164,100756,b_cell,11872,0.11782921116360316
sample00165,111486,b_cell,11804,0.10587876504673233
sample00166,111770,b_cell,9198,0.08229399660016104
sample00167,108425,b_cell,9538,0.08796864191837676
sample00168,102412,b_cell,8186,0.0799320392141546
sample00169,93829,b_cell,8106,0.08639120101461169
sample00170,98457,b_cell,7984,0.08109123779924231
sample00171,92121,b_cell,11525,0.12510719597051703
sample00172,94096,b_cell,11364,0.12077027716374766
sample00173,96509,b_cell,7082,0.07338175714182096
sample00174,97817,b_cell,7405,0.07570258748479303
sample00175,107707,b_cell,11412,0.10595411625985313
sample00176,97220,b_cell,7371,0.07581773297675376
sample00177,102788,b_cell,10580,0.10293030314822742
sample00178,109003,b_cell,11377,0.10437327413006982
sample00179,95383,b_cell,4366,0.045773355839090826
sample00180,99526,b_cell,10632,0.106826356931857
sample00181,106939,b_cell,9617,0.08992977304818635
sample00182,96513,b_cell,7927,0.08213401303451348
sample00183,90271,b_cell,8354,0.09254356327059632
sample00184,101853,b_cell,13752,0.13501811434125652
sample00185,90312,b_cell,8199,0.09078527770395961
sample00186,99781,b_cell,12451,0.12478327537306702
sample00187,97273,b_cell,13389,0.1376435393171795
sample00188,93651,b_cell,10012,0.10690756105113666
sample00189,92269,b_cell,7128,0.0772523816232971
sample00190,107702,b_cell,5835,0.05417726690312158
sample00191,97633,b_cell,10650,0.10908197023547365
sample00192,93422,b_cell,9491,0.1015927725803344
sample00193,104288,b_cell,12614,0.12095351334765266
sample00194,94766,b_cell,8249,0.08704598695734757
sample00195,110093,b_cell,9581,0.08702642311500278
sample00196,106348,b_cell,5599,0.05264791063301614
sample00197,105242,b_cell,11837,0.11247410729556641
sample00198,112100,b_cell,11947,0.10657448706512043
sample00199,98854,b_cell,14721,0.14891658405325026
sample00200,98997,b_cell,10134,0.1023667383860117
sample00201,107968,b_cell,12506,0.11583061647895673
sample00202,109619,b_cell,12230,0.11156825002964814
sample00203,89878,b_cell,10259,0.11414361690291283
sample00204,106620,b_cell,13017,0.12208778840742825
sample00205,101142,b_cell,8077,0.07985802139566155
sample00206,108697,b_cell,10714,0.09856757776203576
sample00207,104367,b_cell,8515,0.0815870917052325
sample00208,109160,b_cell,11308,0.10359105899596922
sample00209,105179,b_cell,11804,0.11222772606699057
sample00210,97792,b_cell,6668,0.06818553664921466
sample00211,94532,b_cell,7965,0.08425718275293022
sample00212,110959,b_cell,18307,0.16498886976270513
sample00213,98753,b_cell,11597,0.11743440705598818
sample00214,102152,b_cell,13613,0.13326219750959356
sample00215,90715,b_cell,8136,0.08968748277572618
sample00216,101474,b_cell,8404,0.08281924433845123
sample00217,95714,b_cell,5644,0.058967340201015524
sample00218,113235,b_cell,20617,0.18207268070826158
sample00219,105888,b_cell,7959,0.0751643245693563
sample00220,93958,b_cell,8861,0.0943080951063241
sample00221,104061,b_cell,12912,0.12408106783521204
sample00222,106140,b_cell,6263,0.05900697192387413
sample00223,91476,b_cell,8529,0.09323757051029778
sample00224,101328,b_cell,11269,0.11121309016264014
sample00225,111440,b_cell,10705,0.09606066044508256
sample00226,95701,b_cell,13772,0.14390654225138713
sample00227,106893,b_cell,9484,0.08872423825694854
sample00228,93013,b_cell,8825,0.09487921043295024
sample00229,106797,b_cell,11043,0.10340178094890307
sample00230,93651,b_cell,6952,0.07423305677462066
sample00231,95358,b_cell,9700,0.10172193208750184
sample00232,93759,b_cell,7290,0.07775253575656738
sample00233,94611,b_cell,9760,0.1031592520954223
sample00234,111970,b_cell,7416,0.0662320264356524
sample00235,96083,b_cell,9466,0.09851898879094116
sample00236,99310,b_cell,8546,0.08605377102003826
sample00237,108155,b_cell,23249,0.21496001109518748
sample00238,101242,b_cell,7611,0.0751763102269809
sample00239,102950,b_cell,5046,0.049014084507042255
sample00240,100921,b_cell,5357,0.05308112285847346
sample00241,112118,b_cell,15571,0.13888046522413885
sample00242,105035,b_cell,9668,0.09204550863997715
sample00243,98635,b_cell,4990,0.0505905611598317
sample00244,97287,b_cell,3494,0.03591435649161759
sample00245,96046,b_cell,12390,0.12900068717073068
sample00246,109803,b_cell,13337,0.12146298370718468
sample00247,105744,b_cell,15036,0.14219246482069905
sample00248,90857,b_cell,11048,0.12159767546804319
sample00249,98477,b_cell,13882,0.14096692628735644
sample00250,103559,b_cell,10657,0.10290752131635107
sample00251,98386,b_cell,8751,0.08894558168845161
sample00252,101735,b_cell,10703,0.1052046984813486
sample00253,109246,b_cell,10355,0.09478607912417845
sample00254,98783,b_cell,6191,0.0626727270886691
sample00255,92275,b_cell,15041,0.16300189650501218
sample00256,103438,b_cell,7268,0.07026431292175023
sample00257,100747,b_cell,7416,0.0736101323116321
sample00258,109680,b_cell,5201,0.04741976659372721
sample00259,100600,b_cell,4695,0.0466699801192843
sample00260,101772,b_cell,7219,0.07093306606925284
sample00261,110763,b_cell,9523,0.08597636394824987
sample00262,99327,b_cell,8695,0.0875391384014417
sample00263,97454,b_cell,10125,0.10389517105506188
sample00264,103560,b_cell,15693,0.1515353418308227
sample00265,100924,b_cell,9904,0.09813324878126115
sample00266,99361,b_cell,11923,0.11999677942049698
sample00267,94452,b_cell,16638,0.17615296658620253
sample00268,102994,b_cell,8068,0.07833466027147212
sample00269,103545,b_cell,9690,0.09358250036216138
sample00270,96631,b_cell,9830,0.1017271889973197
sample00271,96200,b_cell,14092,0.1464864864864865
sample00272,110623,b_cell,9416,0.0851179230358967
sample00273,93092,b_cell,3136,0.0336871052292356
sample00274,92538,b_cell,3855,0.04165856188808922
sample00275,105369,b_cell,7418,0.07040021258624453
sample00276,99603,b_cell,12609,0.12659257251287612
sample00277,109063,b_cell,9961,0.09133253257291657
sample00278,97256,b_cell,10451,0.10745866578925722
sample00279,104522,b_cell,10139,0.09700350165515394
sample00280,91664,b_cell,7532,0.08216966311747251
sample00281,107620,b_cell,7486,0.06955956141981044
sample00282,106309,b_cell,7333,0.06897816741762221
sample00283,98356,b_cell,8723,0.08868803123347839
sample00284,108256,b_cell,7304,0.06746970144841856
sample00285,90622,b_cell,14107,0.15566860144335812
sample00286,103894,b_cell,8639,0.08315205882919129
sample00287,96806,b_cell,8995,0.09291779435158978
sample00288,93503,b_cell,8594,0.09191148947092606
sample00289,108005,b_cell,14423,0.1335401138836165
sample00290,103258,b_cell,7667,0.07425090549884755
sample00291,94092,b_cell,7911,0.08407728606045148
sample00292,94934,b_cell,9651,0.10166010070154002
sample00293,90575,b_cell,6433,0.07102401324868893
sample00294,101871,b_cell,8252,0.08100440753501978
sample00295,102261,b_cell,11140,0.10893693587975865
sample00296,89470,b_cell,11943,0.13348608472113557
sample00297,112152,b_cell,20375,0.18167308652542977
sample00298,99875,b_cell,5131,0.05137421777221527
sample00299,104916,b_cell,15127,0.14418201227648786
sample00300,103797,b_cell,7707,0.07425070088730888
sample00301,110284,b_cell,15525,0.1407729135686047
sample00302,103008,b_cell,9890,0.09601196023609816
sample00303,105180,b_cell,13385,0.12725803384673892
sample00304,101745,b_cell,5866,0.05765393876848985
sample00305,99613,b_cell,6128,0.06151807495005672
sample00306,111002,b_cell,7837,0.0706023314895227
sample00307,104495,b_cell,11811,0.11302933154696397
sample00308,109273,b_cell,15017,0.13742644569106732
sample00309,107607,b_cell,6562,0.06098116293549676
sample00310,93581,b_cell,10703,0.11437150703668479
sample00311,94335,b_cell,8993,0.09533047119308846
sample00312,92487,b_cell,10940,0.1182868943743445
sample00313,94671,b_cell,5951,0.06285979867118759
sample00314,94281,b_cell,9252,0.09813217933623954
sample00315,116268,b_cell,9874,0.084924484810954
sample00316,112316,b_cell,14217,0.1265803625485238
sample00317,102654,b_cell,10423,0.1015352543495626
sample00318,100548,b_cell,7804,0.077614671599634
sample00319,106181,b_cell,8712,0.0820485774291069
sample00320,93754,b_cell,12378,0.13202636687501335
sample00321,103793,b_cell,9538,0.09189444374861504
sample00322,100492,b_cell,11253,0.11197906300999085
sample00323,105534,b_cell,8037,0.07615555176530786
sample00324,107593,b_cell,5829,0.0541763869396708
sample00325,102479,b_cell,9424,0.09196030406229569
sample00326,97661,b_cell,12099,0.12388773410061335
sample00327,98632,b_cell,12095,0.12262754481304242
sample00328,96267,b_cell,11588,0.12037354441293485
sample00329,107732,b_cell,10454,0.09703709204321835
sample00330,100711,b_cell,6937,0.06888026134185939
sample00331,107209,b_cell,18342,0.17108638267309648
sample00332,97673,b_cell,5748,0.05884942614642737
sample00333,97084,b_cell,12249,0.1261690906843558
sample00334,101241,b_cell,13875,0.1370492191898539
sample00335,102261,b_cell,9604,0.0939165468751528
sample00336,110565,b_cell,9902,0.08955817844706733
sample00337,106316,b_cell,14713,0.13838932992211897
sample00338,97580,b_cell,7362,0.0754457880713261
sample00339,92218,b_cell,8554,0.09275846364050402
sample00340,100356,b_cell,8030,0.08001514607995536
sample00341,97245,b_cell,7224,0.07428659571186179
sample00342,107881,b_cell,8597,0.07968965804914674
sample00343,100349,b_cell,9593,0.09559636867333007
sample00344,96519,b_cell,8056,0.0834654316766647
sample00345,107987,b_cell,13764,0.12745978682619205
sample00346,104625,b_cell,11974,0.1144468339307049
sample00347,94187,b_cell,11715,0.12438022232367524
sample00348,97518,b_cell,13225,0.13561598884308537
sample00349,104257,b_cell,13010,0.12478778403368598
sample00350,107703,b_cell,4374,0.04061168212584608
sample00351,102814,b_cell,11515,0.1119983659812866
sample00352,103597,b_cell,13577,0.13105591860768168
sample00353,104276,b_cell,18006,0.17267635889370517
sample00354,97323,b_cell,14477,0.14875209354417762
sample00355,103832,b_cell,12127,0.1167944371677325
sample00356,105730,b_cell,6637,0.06277310129575334
sample00357,93329,b_cell,8158,0.08741120123434303
sample00358,93905,b_cell,9594,0.10216708375485864
sample00359,100636,b_cell,12836,0.12754878969752376
sample00360,96753,b_cell,12030,0.12433722985333788
sample00361,96891,b_cell,12711,0.13118865529306128
sample00362,99862,b_cell,7826,0.07836814804430113
sample00363,98142,b_cell,5406,0.055083450510484806
sample00364,95935,b_cell,11819,0.12319799864491583
sample00365,100454,b_cell,10397,0.10350010950285703
sample00366,94915,b_cell,7304,0.07695306326713375
sample00367,105414,b_cell,7932,0.07524617223518698
sample00368,99427,b_cell,8983,0.09034769227674576
sample00369,99288,b_cell,9633,0.09702078801063573
sample00370,103267,b_cell,13888,0.1344863315483165
sample00371,94340,b_cell,3757,0.03982404070383719
sample00372,100936,b_cell,13748,0.13620512007608782
sample00373,91708,b_cell,6860,0.07480263444846687
sample00374,104503,b_cell,13911,0.13311579571878318
sample00375,97797,b_cell,3822,0.039080953403478634
sample00376,92810,b_cell,6934,0.07471177674819524
sample00377,95723,b_cell,9513,0.09938050416305381
sample00378,101500,b_cell,13078,0.1288472906403941
sample00379,105343,b_cell,17131,0.16262115185631698
sample00380,95275,b_cell,5710,0.05993177643663081
sample00381,104703,b_cell,17244,0.16469442136328472
sample00382,98643,b_cell,10700,0.10847196455906653
sample00383,106233,b_cell,13159,0.12386923084164055
sample00384,105260,b_cell,6552,0.06224586737602128
sample00385,96454,b_cell,16158,0.16752026872913514
sample00386,103365,b_cell,13879,0.13427175542978764
sample00387,99423,b_cell,12147,0.12217494945837483
sample00388,99530,b_cell,13090,0.13151813523560735
sample00389,93603,b_cell,8918,0.09527472410072327
sample00390,109300,b_cell,8658,0.0792131747483989
sample00391,97852,b_cell,11154,0.11398847238686996
sample00392,103588,b_cell,11999,0.11583388037224389
sample00393,102404,b_cell,9756,0.0952697160267177
sample00394,101115,b_cell,6317,0.062473421351926024
sample00395,92420,b_cell,8048,0.08708071845920796
sample00396,95667,b_cell,7685,0.0803307305549458
sample00397,107097,b_cell,10394,0.09705220501041112
sample00398,96956,b_cell,8274,0.08533767894715129
sample00399,102314,b_cell,9978,0.09752331059288075
sample00400,95600,b_cell,12594,0.13173640167364017
sample00401,100878,b_cell,7425,0.07360375899601498
sample00402,91145,b_cell,5436,0.05964123100554062
sample00403,104802,b_cell,9302,0.08875784813266922
sample00404,95275,b_cell,8705,0.09136709525059039
sample00405,95002,b_cell,10796,0.11363971284815057
sample00406,93195,b_cell,12197,0.13087611996351736
sample00407,88331,b_cell,7459,0.08444374002332138
sample00408,104028,b_cell,11163,0.10730764794093897
sample00409,104053,b_cell,10750,0.10331273485627517
sample00410,105448,b_cell,15315,0.14523746301494575
sample00411,107991,b_cell,15442,0.142993397597948
sample00412,98963,b_cell,4745,0.04794721259460606
sample00413,110787,b_cell,8386,0.07569480173666586
sample00414,92653,b_cell,6667,0.07195665547796617
sample00415,106472,b_cell,11699,0.10987865354271546
sample00416,90342,b_cell,6873,0.07607757189347147
sample00417,90044,b_cell,9435,0.10478210652569855
sample00418,91743,b_cell,9269,0.10103223134190074
sample00419,100623,b_cell,10686,0.10619838406726097
sample00420,98203,b_cell,10326,0.10514953718318178
sample00421,107968,b_cell,9919,0.0918698132780083
sample00422,100628,b_cell,7080,0.07035815081289502
sample00423,102847,b_cell,22356,0.2173714352387527
sample00424,101019,b_cell,11686,0.11568120848553243
sample00425,92906,b_cell,6778,0.07295546035778099
sample00426,96997,b_cell,12193,0.12570491870882605
sample00427,93526,b_cell,11273,0.12053332763081924
sample00428,93130,b_cell,3953,0.04244604316546763
sample00429,106699,b_cell,8119,0.07609255944291886
sample00430,105592,b_cell,8810,0.08343435108720358
sample00431,105105,b_cell,7498,0.07133818562389992
sample00432,107031,b_cell,11097,0.10368024217282844
sample00433,95490,b_cell,10886,0.11400146612210703
sample00434,97386,b_cell,8818,0.09054689585772083
sample00435,107516,b_cell,10578,0.09838535659808773
sample00436,90324,b_cell,6569,0.07272707143173464
sample00437,97610,b_cell,9752,0.099907796332343
sample00438,97015,b_cell,9893,0.10197392155852188
sample00439,104091,b_cell,12638,0.12141299439913153
sample00440,108621,b_cell,10924,0.10056987138766905
sample00441,95084,b_cell,10921,0.11485633755416264
sample00442,108059,b_cell,9524,0.08813703624871598
sample00443,97597,b_cell,12492,0.12799573757390084
sample00444,101849,b_cell,15731,0.1544541428978193
sample00445,93161,b_cell,10334,0.11092624596129282
sample00446,98043,b_cell,8445,0.08613567516293871
sample00447,98729,b_cell,7585,0.07682646436204155
sample00448,105500,b_cell,5917,0.056085308056872035
sample00449,99023,b_cell,8797,0.08883794673964635
sample00450,107956,b_cell,7492,0.06939864389195598
sample00451,95691,b_cell,8440,0.08820056222633267
sample00452,100052,b_cell,8106,0.08101787070723224
sample00453,93623,b_cell,12212,0.13043803338923127
sample00454,97620,b_cell,12112,0.12407293587379635
sample00455,105393,b_cell,17826,0.16913836782328998
sample00456,108018,b_cell,11221,0.1038808346757022
sample00457,108621,b_cell,15176,0.1397151563693945
sample00458,96564,b_cell,10801,0.11185327865457106
sample00459,96487,b_cell,7468,0.07739902784831117
sample00460,101893,b_cell,7938,0.07790525355029296
sample00461,101052,b_cell,12744,0.1261132882080513
sample00462,96069,b_cell,9906,0.10311338725291197
sample00463,93077,b_cell,7996,0.08590736701870494
sample00464,99154,b_cell,8210,0.08280049216370494
sample00465,93629,b_cell,6595,0.0704375781008021
sample00466,99232,b_cell,15853,0.15975693324733956
sample00467,93276,b_cell,14650,0.15706076589905227
sample00468,88938,b_cell,9939,0.11175200701612359
sample00469,103239,b_cell,10897,0.10555119673766697
sample00470,98113,b_cell,12364,0.1260179588841438
sample00471,106307,b_cell,6409,0.060287657444947185
sample00472,98089,b_cell,8943,0.09117230270468656
sample00473,90146,b_cell,8540,0.09473520733033079
sample00474,87975,b_cell,14389,0.1635578289286729
sample00475,95258,b_cell,6971,0.07318020533708455
sample00476,89907,b_cell,12014,0.13362697009131658
sample00477,103246,b_cell,9372,0.0907734924355423
sample00478,103728,b_cell,11817,0.11392295233688107
sample00479,108725,b_cell,8385,0.07712117728213383
sample00480,102557,b_cell,10721,0.10453698918650116
sample00481,102711,b_cell,8306,0.08086767726923115
sample00482,109915,b_cell,12509,0.11380612291316017
sample00483,94926,b_cell,9905,0.10434443671912859
sample00484,110072,b_cell,14062,0.12775274365869613
sample00485,102542,b_cell,10786,0.10518616761912192
sample00486,89033,b_cell,5764,0.06474004020980985
sample00487,98719,b_cell,11310,0.11456761109816753
sample00488,102087,b_cell,9542,0.0934692957967224
sample00489,102578,b_cell,10756,0.10485679190469692
sample00490,91602,b_cell,6847,0.07474727626034366
sample00491,110984,b_cell,11320,0.1019966842067325
sample00492,90452,b_cell,9674,0.10695175341617653
sample00493,101317,b_cell,9490,0.09366641333636014
sample00494,105084,b_cell,8531,0.08118267290929161
sample00495,105226,b_cell,10108,0.09605990914792922
sample00496,103327,b_cell,16709,0.16170991125262515
sample00497,90736,b_cell,6995,0.0770917827543643
sample00498,109114,b_cell,10176,0.09326025991165203
sample00499,92534,b_cell,10355,0.11190481336589794
sample00500,92267,b_cell,9346,0.10129298665828519
sample00501,108235,b_cell,7923,0.07320182935279715
sample00502,96878,b_cell,7745,0.07994591135242264
sample00503,102115,b_cell,9088,0.08899769867306469
sample00504,101281,b_cell,6122,0.06044569070210602
sample00505,102199,b_cell,12376,0.12109707531384847
sample00506,99337,b_cell,17296,0.17411437832831675
sample00507,96702,b_cell,11732,0.1213211722611735
sample00508,93751,b_cell,11632,0.12407334321767234
sample00509,104727,b_cell,7565,0.07223543116865756
sample00510,101519,b_cell,5778,0.05691545424994336
sample00511,94245,b_cell,11825,0.1254708472598016
sample00512,105031,b_cell,8104,0.07715817234911597
sample00513,87506,b_cell,15841,0.18102758667977054
sample00514,95912,b_cell,6158,0.0642046876303278
sample00515,100291,b_cell,6356,0.06337557707072419
sample00516,104517,b_cell,7126,0.0681802960283973
sample00517,100185,b_cell,17829,0.17796077257074414
sample00518,97914,b_cell,11422,0.11665338970933677
sample00519,104798,b_cell,12592,0.12015496478940438
sample00520,108959,b_cell,7065,0.06484090345909929
sample00521,95500,b_cell,8201,0.08587434554973822
sample00522,91990,b_cell,9206,0.10007609522774215
sample00523,97036,b_cell,11753,0.12111999670225483
sample00524,100342,b_cell,8609,0.08579657571106815
sample00525,108676,b_cell,6598,0.060712576833891564
sample00526,95054,b_cell,6404,0.06737223052159826
sample00527,104895,b_cell,5987,0.05707612374279041
sample00528,91094,b_cell,11505,0.12629810964498212
sample00529,93851,b_cell,8609,0.09173050899830583
sample00530,101056,b_cell,8670,0.08579401519949335
sample00531,93292,b_cell,12576,0.13480255541739913
sample00532,90262,b_cell,8011,0.08875274201768187
sample00533,98824,b_cell,14148,0.14316360398283817
sample00534,96652,b_cell,5436,0.05624301618176551
sample00535,104896,b_cell,6571,0.06264299877974375
sample00536,95929,b_cell,9388,0.09786404528349092
sample00537,97491,b_cell,8150,0.08359746027838467
sample00538,101454,b_cell,13400,0.13207956315177322
sample00539,112399,b_cell,4590,0.04083666224788477
sample00540,88516,b_cell,9662,0.10915540693208008
sample00541,86769,b_cell,7841,0.09036637508787701
sample00542,104178,b_cell,10584,0.10159534642630881
sample00543,97856,b_cell,10105,0.10326397972531066
sample00544,97090,b_cell,8779,0.0904212586260171
sample00545,103635,b_cell,17635,0.17016451970859264
sample00546,99083,b_cell,11523,0.1162964383395739
sample00547,101173,b_cell,9509,0.09398752631630969
sample00548,95779,b_cell,4887,0.0510237108343165
sample00549,100015,b_cell,10411,0.10409438584212369
sample00550,97763,b_cell,9160,0.09369597905137936
sample00551,99825,b_cell,11385,0.1140495867768595
sample00552,96514,b_cell,8522,0.08829807074621299
sample00553,94299,b_cell,17161,0.18198496272494935
sample00554,107069,b_cell,6617,0.06180126834097638
sample00555,102840,b_cell,10822,0.10523142746013224
sample00556,104133,b_cell,5948,0.057119260945137466
sample00557,104558,b_cell,10701,0.10234510989116088
